# LGA -> region mapping — state<TAB>LGA<TAB>region
# "Region" is not a formal AU admin level; these are curated colloquial/rider
# regions (e.g. "Snowy Mountains", "Kimberley"), keyed by state+LGA because LGA
# names collide across states (Central Coast NSW vs TAS). Edit freely and re-run
# `dingo gazetteer load-regions data/lga-regions-au.tsv` then `dingo name --rides-all`.
# A row with an empty LGA is the state-wide default (used for ACT).
# Covers every LGA Grant's rides touch plus neighbours; unmapped LGAs get NULL region.
ACT		Canberra
NSW	Bayside	Sydney
NSW	Blacktown	Sydney
NSW	Burwood	Sydney
NSW	Camden	Sydney
NSW	Campbelltown	Sydney
NSW	Canada Bay	Sydney
NSW	Canterbury-Bankstown	Sydney
NSW	Cumberland	Sydney
NSW	Fairfield	Sydney
NSW	Georges River	Sydney
NSW	Hornsby	Sydney
NSW	Hunters Hill	Sydney
NSW	Inner West	Sydney
NSW	Ku-ring-gai	Sydney
NSW	Lane Cove	Sydney
NSW	Liverpool	Sydney
NSW	Mosman	Sydney
NSW	North Sydney	Sydney
NSW	Northern Beaches	Sydney
NSW	Parramatta	Sydney
NSW	Penrith	Sydney
NSW	Randwick	Sydney
NSW	Ryde	Sydney
NSW	Strathfield	Sydney
NSW	Sutherland	Sydney
NSW	Sydney	Sydney
NSW	The Hills	Sydney
NSW	Waverley	Sydney
NSW	Willoughby	Sydney
NSW	Wollondilly	Sydney
NSW	Woollahra	Sydney
NSW	Hawkesbury	Hawkesbury
NSW	Blue Mountains	Blue Mountains
NSW	Central Coast	Central Coast
NSW	Cessnock	Hunter
NSW	Dungog	Hunter
NSW	Lake Macquarie	Hunter
NSW	Maitland	Hunter
NSW	Muswellbrook	Hunter
NSW	Newcastle	Hunter
NSW	Port Stephens	Hunter
NSW	Singleton	Hunter
NSW	Upper Hunter	Hunter
NSW	Mid-Coast	Mid North Coast
NSW	Port Macquarie-Hastings	Mid North Coast
NSW	Kempsey	Mid North Coast
NSW	Nambucca	Mid North Coast
NSW	Bellingen	Mid North Coast
NSW	Coffs Harbour	Mid North Coast
NSW	Ballina	Northern Rivers
NSW	Byron	Northern Rivers
